Dataset;Insert mean;Mice_pmm;VIM_knn;VIM_hotdeck;softImpute
ipums_la_99-small;NA;NA;NA;NA;NA
adult;0,902948166;0,902948166;0,902948166;0,902948166;0,902948166
eucalyptus;0,881355932;0,906077348;0,792682927;0,875;0,895027624
dresses-sales;NA;NA;NA;NA;NA
colic;0,756756757;0,666666667;0,666666667;0,731707317;0,756756757
credit-approval;0,885714286;0,885714286;0,885714286;0,885714286;0,885714286
sick;0,985221675;0,983791402;0,98659139;0,988732394;0,990126939
labor;0,75;0,333333333;0,666666667;0,75;0,428571429
SpeedDating;1;1;1;1;1
stem-okcupid;NA;NA;NA;NA;NA
hepatitis;0,4;0,5;0,666666667;0,4;0,444444444
vote;0,964912281;0,965517241;0,964912281;0,965517241;0,964912281
cylinder-bands;0,732394366;0,722222222;0,732394366;0,732394366;0,732394366
echoMonths;0,774193548;0,8125;0,774193548;0,774193548;0,774193548
